Date,Categories,Survey Questions,Satisfied to Highly Satisfied,Total Responses,% Satisfied,Percent Satisfied
10/17/2017 12:01:00 PM,Timing of Recruitments,Timeliness of Civil Service Board list certification.,24,27,89%,89%
10/17/2017 12:02:00 PM,Timing of Recruitments,Timely completion of recruitment.,30,35,86%,86%
10/17/2017 12:02:59 PM,Timing of Recruitments,Timeliness of PAR/REQ approval process.,31,35,89%,89%
10/17/2017 12:03:59 PM,Overall,Timing of Recruitments,85,97,88%,88%
10/17/2017 12:04:59 PM,Job Posting Process,Effectiveness of job posting in attracting the ideal candidate.,32,35,91%,91%
10/17/2017 12:05:59 PM,Job Posting Process,"Salary range for the posted job (i.e., competitiveness, ability to attract, etc.)",31,35,89%,89%
10/17/2017 12:06:59 PM,Job Posting Process,Recruiter's ability to collaborate and understand your specific business/hiring needs.,33,35,94%,94%
10/17/2017 12:07:59 PM,Job Posting Process,Effectiveness of advertising and outreach efforts.,31,34,91%,91%
10/17/2017 12:08:59 PM,Overall,Job Posting Process,127,139,91%,91%
10/17/2017 12:09:59 PM,Screening Process,Testing/assessment development process.,32,34,94%,94%
10/17/2017 12:10:59 PM,Screening Process,Recruiter's support of interview process.,33,33,100%,100%
10/17/2017 12:11:59 PM,Overall,Screening Process,65,67,97%,97%
10/17/2017 12:12:59 PM,Candidate Pool,Quality of applicant pool.,30,34,88%,88%
10/17/2017 12:13:59 PM,Candidate Pool,Quantity of well-qualified candidates.,27,34,79%,79%
10/17/2017 12:14:59 PM,Overall,Candidate Pool,57,68,84%,84%
10/17/2017 12:15:59 PM,Overall,Overall Satisfaction,334,371,90%,90%
